npBreed_Name,Registry_Groups,Origin_Country,Size_Category,Average_Height_cm,Average_Weight_kg,Life_Expectancy_Years,Temperament,Coat_Type,Color_Varieties,Coat_Length,Training_Difficulty,Activity_Level,Grooming_Needs,Good_With_Families,Good_With_Children,Shedding_Level,Health_Concerns,Unique_Traits
British Longhair,TICA; GCCF; WCF,Great Britain,Medium-Large,25-30,3.6-7.7,12-17,Affectionate; Alert; Calm; Courageous; Easy-going; Even-tempered; Friendly; Gentle; Intelligent; Independent; Loyal; Patient; Quiet; Steady,Long; Dense; Double; Plush,All colors and patterns; Tabby; Solid; Colorpoint,Long,Low,Moderate,Very High,Yes,Yes,Very High,Hip Dysplasia; Hypertrophic Cardiomyopathy; Progressive Retinal Atrophy; Polycystic Kidney Disease,Dense plush coat; Stocky build; Chunky appearance; Calm temperament
British Shorthair,TICA; CFA; FIFe; GCCF; WCF,Great Britain,Medium-Large,25-30,3.6-7.7,12-20,Affectionate; Alert; Calm; Courageous; Easy-going; Even-tempered; Friendly; Gentle; Intelligent; Independent; Loyal; Patient; Quiet; Steady,Short; Dense; Double; Plush,All colors and patterns; Tabby; Solid; Colorpoint,Short,Low,Moderate,Moderate,Yes,Yes,Very High,Hip Dysplasia; Hypertrophic Cardiomyopathy; Progressive Retinal Atrophy; Polycystic Kidney Disease,Dense plush coat; Stocky build; Blue variety most popular; Calm temperament
Burmese,TICA; CFA; FIFe; GCCF; WCF,Burma (Myanmar),Small-Medium,20-25,2.7-5.4,10-12,Affectionate; Alert; Courageous; Curious; Even-tempered; Friendly; Intelligent; Loyal; Playful; Talkative; Vocal,Short; Dense; Glossy; Satin-like,Sable; Champagne; Blue; Platinum; Cream; Red,Short,Moderate,Moderate,Low,Yes,Yes,Moderate,Hypertrophic Cardiomyopathy; Diabetes; Arthritis; Flat Face Syndrome,Dense muscular body; Expressive golden/yellow eyes; Contemporary or Traditional build
Burmilla,TICA; GCCF; WCF,Great Britain,Small-Medium,20-25,2.5-4.5,10-12,Affectionate; Alert; Courageous; Curious; Even-tempered; Friendly; Intelligent; Loyal; Playful; Social; Vocal,Short or Long; Fine; Double,Black; Blue; Brown; Chocolate; Lilac; Red; Cream,Short or Long,Low,Moderate,Moderate,Yes,Yes,Moderate,Dental Disease; Patellar Luxation; No Major Health Concerns,Accidental cross between Chinchilla Persian and Burmese; Silver-tipped coat; Playful nature
Chartreux,TICA; CFA; FIFe; GCCF; WCF,France,Medium,20-25,3-5.4,11-15,Affectionate; Alert; Calm; Courageous; Even-tempered; Friendly; Intelligent; Independent; Loyal; Observant; Playful; Quiet; Shy (with strangers),Short; Dense; Double; Woolly; Fine,Blue; Gray; Slate Blue,Short,Low,Moderate,Moderate,Yes,Yes,Moderate,Hip Dysplasia; Progressive Retinal Atrophy; No Major Health Concerns,Water-resistant coat; Smile-like expression; Rarely vocalize; Ancient breed
Chausie,TICA; WCF,United States (Jungle Cat hybrid),Medium-Large,20-28,3.6-7.7,12-14,Active; Affectionate; Alert; Courageous; Curious; Energetic; Friendly; Intelligent; Keen; Lively; Loyal; Playful,Short; Dense; Fine; Ticked,Brown; Black; Grizzled; Spotted Tabby,Short,Moderate,Very High,Low,Yes,Moderate,Moderate,Hip Dysplasia; No Major Health Concerns; Genetic diversity ensures health,Exotic hybrid with Jungle Cat; Wild appearance; High energy; Active lifestyle
Cornish Rex,TICA; CFA; FIFe; GCCF; WCF,Great Britain,Small,15-20,2.3-4.5,9-13,Affectionate; Alert; Athletic; Clever; Courageous; Curious; Devoted; Energetic; Even-tempered; Friendly; Gentle; Intelligent; Keen; Lively; Loyal; Playful; Social; Sweet,Short; Curly; Double; Soft; Wavy; Fine; No guard hairs,All colors and patterns,Short,Moderate,High,Moderate,Yes,Yes,Low,Hypertrophic Cardiomyopathy; Patellar Luxation; Hip Dysplasia; Hypothyroidism,Distinctive wavy/curly coat; Large ears; Elf-like face; High energy
Cymric,TICA; CFA; FIFe; GCCF; WCF,Isle of Man,Medium,20-25,3-5,11-15,Affectionate; Alert; Curious; Even-tempered; Friendly; Intelligent; Inventive; Loyal; Playful; Responsive,Long; Double; Dense; Thick; Wool-like; No tail,Red; Cream; Black; Blue; Brown; Gray; White; Tabby; Solid; Calico; Patched,Long,Moderate,Moderate,Very High,Yes,Yes,Very High,Manx Syndrome; Spinal Issues; Hip Dysplasia; Arthritis; Mega Colon,Long-haired Manx variant; Naturally tailless; Rabbit-like hop when running
Devon Rex,TICA; CFA; FIFe; GCCF; WCF,Great Britain,Small,20-25,2.3-4.5,9-13,Affectionate; Alert; Athletic; Curious; Devoted; Energetic; Even-tempered; Friendly; Gentle; Intelligent; Keen; Lively; Loyal; Mischievous; Playful; Social,Short; Curly; Double; Soft; Wavy; Coarser than Cornish Rex; Fine; Downy,All colors and patterns,Short,Moderate,High,Moderate,Yes,Yes,Low,Hypertrophic Cardiomyopathy; Patellar Luxation; Hip Dysplasia; Hypothyroidism; Ear Problems,Large bat-like ears; Elf-like face; Coarser curly coat; High energy
Donskoy,TICA; WCF,Russia,Small-Medium,20-25,2.3-4.5,12-15,Affectionate; Alert; Courageous; Curious; Even-tempered; Friendly; Intelligent; Loyal; Playful; Social; Vocal,Hairless; Warm to touch; Suede-like skin,All colors and patterns; Solid; Tabby; Colorpoint,Hairless,Moderate,High,Very High (skin care),Yes,Yes,,Skin Sensitivity; Sunburn Risk; Hypertrophic Cardiomyopathy; Dental Issues,Hairless breed; Warm body temperature; Require warm environment; Suede-like skin
Egyptian Mau,TICA; CFA; FIFe; GCCF; WCF,Egypt,Small-Medium,20-25,2.3-4.5,9-14,Affectionate; Alert; Athletic; Courageous; Curious; Energetic; Even-tempered; Friendly; Loyal; Playful; Shy (with strangers); Swift; Wary,Short; Fine; Dense,Silver; Bronze; Smoke; Black; Blue; Red; Chocolate,Short,High,Very High,Low,Yes,Yes,Low,Progressive Retinal Atrophy; Hypertrophic Cardiomyopathy; Polycystic Kidney Disease; Goitre,Only naturally spotted domestic breed; Fastest domestic cat; Ancient breed; Distinctive facial markings
Exotic Shorthair,TICA; CFA; FIFe; GCCF; WCF,United States,Medium,20-25,3.6-6.3,12-15,Affectionate; Alert; Calm; Courageous; Curious; Even-tempered; Friendly; Gentle; Intelligent; Loyal; Patient; Playful; Quiet; Sensitive,Short; Dense; Double; Plush; Woolly,All colors and patterns (same as Persian),Short,Low,Moderate-Low,Moderate,Yes,Yes,High,Polycystic Kidney Disease; Progressive Retinal Atrophy; Hip Dysplasia; Breathing Issues; Flat Face Syndrome,Short-haired Persian; Teddy bear appearance; Round face; Low energy
Havana,TICA; CFA; FIFe; GCCF; WCF,Cuba,Small-Medium,20-25,2.3-4.5,9-12,Affectionate; Alert; Courageous; Curious; Even-tempered; Friendly; Gentle; Intelligent; Keen; Lively; Loyal; Playful; Vocal,Short or Long; Fine; Silky,Red-Brown; Chestnut; Mahogany; Chocolate; Lilac; Tan; Cream,Short or Long,Moderate,Moderate,Moderate,Yes,Yes,Moderate,Hypertrophic Cardiomyopathy; Progressive Retinal Atrophy; Hip Dysplasia; No Major Health Concerns,Chestnut/mahogany color; Whiskered muzzle; Green eyes (rare); Responsive to voice
Himalayan,TICA; CFA; GCCF; WCF,United States,Medium-Large,25-30,3.6-6.3,12-15,Affectionate; Alert; Calm; Courageous; Curious; Even-tempered; Friendly; Gentle; Intelligent; Loyal; Patient; Quiet; Sensitive; Sweet,Long; Dense; Double; Plush; Thick,Colorpoint (Seal; Chocolate; Blue; Lilac; Red; Cream); Lynx Point; Tabby Point,Long,Low,Low,Very High,Yes,Yes,Very High,Polycystic Kidney Disease; Progressive Retinal Atrophy; Hip Dysplasia; Breathing Issues; Flat Face Syndrome; Kidney Disease,Color-point long-haired Persian variant; Persian type body; Docile nature; High grooming needs
Japanese Bobtail,TICA; CFA; FIFe; GCCF; WCF,Japan,Small-Medium,20-23,2.3-4.5,9-13,Affectionate; Alert; Athletic; Courageous; Curious; Devoted; Energetic; Even-tempered; Friendly; Gentle; Intelligent; Keen; Lively; Loyal; Playful; Responsive; Sensitive; Vocal,Short or Long; Fine; Silky,All colors and patterns,Short or Long,Moderate,High,Moderate,Yes,Yes,Moderate,Congenital Defects; Hip Dysplasia; Strabismus; Nystagmus; No Major Health Concerns,Distinctive pompom tail; Vocal and talkative; Can be trained on leash; Playful nature
Khao Manee,TICA; WCF,Thailand,Small-Medium,20-25,2.3-4.5,10-12,Affectionate; Alert; Courageous; Curious; Even-tempered; Friendly; Gentle; Intelligent; Keen; Lively; Loyal; Playful; Social,Short; Glossy; Fine; Dense,Pure White; Solid White,Short,Moderate,Moderate,Low,Yes,Yes,Low,Congenital Deafness (particularly in blue-eyed cats); Hypertrophic Cardiomyopathy; Patellar Luxation,All white breed; Jewel-like eyes (often different colors); Ancient Thai breed; Potential deafness
Korat,TICA; CFA; FIFe; GCCF; WCF,Thailand,Small-Medium,20-23,2.3-4.5,9-13,Affectionate; Alert; Courageous; Curious; Even-tempered; Friendly; Gentle; Intelligent; Inquisitive; Keen; Intelligent; Loyal; Observant; Playful; Quiet; Reserved (with strangers),Short; Fine; Glossy; Dense; Double,Blue; Silver; Gray; Slate,Short,Moderate,Moderate,Low,Yes,Yes,Low,Gangliosidosis; Hypertrophic Cardiomyopathy; Progressive Retinal Atrophy; No Major Health Concerns,Ancient Thai breed; Heart-shaped head; Shiny coat; Long-lived; Healthy breed
Kurilian Bobtail,TICA; WCF; FIFe,Russia (Kurils),Medium-Large,20-25,2.7-5.4,11-15,Affectionate; Alert; Courageous; Curious; Even-tempered; Friendly; Intelligent; Keen; Lively; Loyal; Playful; Quiet; Responsive,Short or Long; Double; Dense; Weather-resistant,All colors and patterns,Short or Long,Moderate,High,Moderate,Yes,Yes,Moderate-High,Hip Dysplasia; Patellar Luxation; Polycystic Kidney Disease; Dental Disease,Distinctive pom-pom tail; Available in longhair and shorthair; Good hunters; Active breed
LaPerm,TICA; CFA; WCF,United States,Small-Medium,20-25,2.3-4.5,12-15,Affectionate; Alert; Curious; Devoted; Energetic; Even-tempered; Friendly; Gentle; Intelligent; Keen; Lively; Loyal; Playful; Responsive; Sweet,Short or Long; Curly; Wavy; Rippling; Single or Double coat,All colors and patterns,Short or Long,Moderate,Moderate,High,Yes,Yes,Moderate,Hip Dysplasia; Patellar Luxation; Progressive Retinal Atrophy; No Major Health Concerns,Naturally curly/wavy coat; Curly whiskers; Long-lived (up to 20 years); Available in short and long hair
Lykoi,TICA (Preliminary),United States,Small,15-20,2.3-3.6,12-15,Affectionate; Alert; Curious; Even-tempered; Friendly; Intelligent; Loyal; Mischievous; Playful; Social,Short; Sparse; Woolly; Wiry; Unusual texture; No guard hairs,Black; Smoke; Blue; Solid,Short,Moderate,Moderate,Moderate,Yes,Yes,Low,Hypertrophic Cardiomyopathy; No Major Health Concerns; Werewolf Gene is natural mutation,Werewolf-like appearance; Sparse coat; Unusual gene; Recent breed (2011)
Maine Coon,TICA; CFA; FIFe; GCCF; WCF,United States,Large,23-25,4.5-11.3,12-15,Affectionate; Alert; Courageous; Curious; Even-tempered; Friendly; Gentle; Intelligent; Loyal; Patient; Playful; Responsive; Sweet; Trainable,Long; Double; Dense; Heavy; Thick; Water-resistant,All colors and patterns except colorpoint and abyssinian,Long,Low,Moderate,Very High,Yes,Yes,Very High,Hip Dysplasia; Hypertrophic Cardiomyopathy; Polycystic Kidney Disease; Spinal Muscular Atrophy,One of largest domestic breeds; Tufted ears and paws; Water-resistant coat; Friendly giant
Manx,TICA; CFA; FIFe; GCCF; WCF,Isle of Man,Medium,20-25,3-5,12-14,Affectionate; Alert; Clever; Courageous; Curious; Even-tempered; Friendly; Inventive; Intelligent; Loyal; Playful; Quiet; Responsive; Sturdy,Short or Long; Double; Dense; Heavy,All colors and patterns,Short or Long,Moderate,Moderate,Moderate,Yes,Yes,Moderate-High,Manx Syndrome; Spinal Issues; Hip Dysplasia; Arthritis; Constipation; Incontinence,Naturally tailless (or short tail); Rabbit-like hopping gait; Ancient breed; Friendly personality
Minuet,TICA; WCF,United States,Miniature,12-18,1.4-3,9-15,Affectionate; Alert; Courageous; Curious; Even-tempered; Friendly; Intelligent; Keen; Lively; Loyal; Playful; Responsive,Short or Long; Fine; Double,All colors and patterns,Short or Long,Moderate,Moderate,Moderate,Yes,Yes,Moderate,Patellar Luxation; Hip Dysplasia; Lordosis (curvature of spine); Hypertrophic Cardiomyopathy,Miniature breed; Short legs (Munchkin genes); Available in short and long hair; Kitten-like appearance
Munchkin,TICA; WCF,United States,Small,12-15,1.8-3.6,12-15,Affectionate; Alert; Courageous; Curious; Even-tempered; Friendly; Intelligent; Keen; Lively; Loyal; Playful; Responsive,Short or Long; Double,All colors and patterns,Short or Long,Moderate,Moderate,Low-Moderate,Yes,Yes,Moderate,Patellar Luxation; Lordosis (curvature of spine); Hip Dysplasia; Hypertrophic Cardiomyopathy; Intervertebral Disc Disease,Signature short legs; Genetic dwarfism; Rabbit-like posture; Playful nature; Controversial breed
Nebelung,TICA; WCF,United States,Small-Medium,20-25,3-4.5,12-18,Affectionate; Alert; Curious; Even-tempered; Friendly; Gentle; Intelligent; Loyal; Quiet; Shy (with strangers); Trusting,Long; Fine; Double; Silky; Dense,Blue; Gray; Silver; Distinctive silver-tipped guard hairs,Long,Moderate,Moderate,Very High,Yes,Yes,Very High,Progressive Retinal Atrophy; Hip Dysplasia; Patellar Luxation; No Major Health Concerns,Long-haired Russian Blue variant; Distinctive silver-tipped blue coat; Quiet and reserved; Long-lived
Norwegian Forest Cat,TICA; CFA; FIFe; GCCF; WCF,Norway,Large,23-25,3.6-9.1,12-16,Affectionate; Alert; Courageous; Curious; Even-tempered; Friendly; Gentle; Intelligent; Keen; Lively; Loyal; Playful; Reserved (with strangers),Long; Double; Heavy; Dense; Woolly; Water-resistant; Distinctive neck ruff,All colors and patterns except colorpoint and abyssinian,Long,Low,Moderate,Very High,Yes,Yes,Very High,Glycogen Storage Disease Type IV; Pyruvate Kinase Deficiency; Hip Dysplasia; Hypertrophic Cardiomyopathy,Large fluffy breed; Double-coated; Excellent climbers; Mountain cat origin; Goddess Freya's favorite
Ocicat,TICA; CFA; WCF,United States,Small-Medium,20-25,2.3-5,9-15,Affectionate; Alert; Courageous; Curious; Devoted; Even-tempered; Friendly; Intelligent; Keen; Lively; Loyal; Playful; Responsive; Social,Short; Satiny; Dense; Fine; Distinctive spotted pattern,Tawny; Chocolate; Cinnamon; Blue; Lavender; Fawn; Red; Cream; Silver; Spotted Tabby,Short,Moderate,High,Low,Yes,Yes,Low,Hip Dysplasia; Patellar Luxation; Hypertrophic Cardiomyopathy; No Major Health Concerns,Naturally spotted tabby coat; Curly whiskers; Resembles wild Ocelot; Athletic and active
Oriental Longhair,TICA; CFA; WCF,Various (Siamese group),Small-Medium,20-25,2.3-4.5,10-15,Affectionate; Alert; Courageous; Curious; Demanding; Even-tempered; Friendly; Intelligent; Keen; Lively; Loyal; Playful; Sensitive; Vocal,Long; Fine; Silky; Single coat,All colors and patterns (300+ variations possible),Long,High,High,High,Yes,Yes,Low,Strabismus; Asthma; Hypertrophic Cardiomyopathy; Progressive Retinal Atrophy; Lymphoma,Siamese body type; Long-haired variant; 300+ color possibilities; Very vocal; High energy
Oriental Shorthair,TICA; CFA; FIFe; GCCF; WCF,Various (Siamese group),Small-Medium,20-25,2.3-4.5,10-15,Affectionate; Alert; Courageous; Curious; Demanding; Even-tempered; Friendly; Intelligent; Keen; Lively; Loyal; Playful; Responsive; Sensitive; Social; Vocal,Short; Fine; Silky; Dense; Glossy; Distinctive ear sets; No undercoat,All colors and patterns (300+ variations),Short,High,High,Low,Yes,Yes,Low,Strabismus; Asthma; Hypertrophic Cardiomyopathy; Progressive Retinal Atrophy; Lymphoma; Cancer,Siamese body type; 300+ colors; Very vocal; Slender and elegant; High energy and attention-seeking
Persian,TICA; CFA; FIFe; GCCF; WCF,Iran,Medium-Large,25-30,3-5.9,12-15,Affectionate; Alert; Calm; Courageous; Curious; Even-tempered; Friendly; Gentle; Intelligent; Loyal; Patient; Quiet; Sensitive; Sweet,Long; Dense; Double; Thick; Plush,All colors and patterns (including colorpoint; tabby; smoke; silver),Long,Low,Low,Very High,Yes,Yes,Very High,Polycystic Kidney Disease; Progressive Retinal Atrophy; Hip Dysplasia; Breathing Issues; Flat Face Syndrome; Dental Issues,Long luxurious coat; Round face; Flat face; Calm personality; High grooming needs
Peterbald,TICA; WCF,Russia,Small-Medium,20-25,2.3-4.5,12-15,Affectionate; Alert; Courageous; Curious; Even-tempered; Friendly; Intelligent; Loyal; Playful; Social; Vocal,Hairless; Coated; Wavy; Warm to touch; Velvety skin,All colors and patterns,Hairless,Moderate,Moderate,Very High (skin care),Yes,Yes,,Skin Sensitivity; Sunburn Risk; Hypertrophic Cardiomyopathy; Dental Issues; Hypothyroidism,Hairless breed; Oriental body type; Can be coated or hairless; Require warm environment; Suede-like skin
Pixiebob,TICA; WCF,United States,Medium-Large,20-25,2.5-5.4,13-16,Affectionate; Alert; Courageous; Curious; Even-tempered; Friendly; Intelligent; Keen; Loyal; Playful; Responsive; Sensitive,Short or Long; Double; Woolly,Brown; Brown Tabby; Sorrel; Spotted; Ticked,Short or Long,Moderate,Moderate,Moderate,Yes,Yes,Moderate,Polydactylism (extra toes); Hip Dysplasia; Patellar Luxation; No Major Health Concerns,Polydactyl (extra toes); Bobtail; Wild appearance; Dog-like personality; Friendly and dog-like
Ragamuffin,TICA; CFA; WCF,United States,Large,20-25,3.6-6.8,12-16,Affectionate; Alert; Calm; Courageous; Curious; Devoted; Even-tempered; Friendly; Gentle; Intelligent; Loyal; Patient; Playful; Quiet; Sweet,Semi-long; Plush; Dense; Double; Soft; Woolly,All colors and patterns (including colorpoint); Red; Cream; White; Brown; Blue; Gray; Tabby; Calico,Semi-long,Low,Moderate,Very High,Yes,Yes,Moderate-High,Polycystic Kidney Disease; Hypertrophic Cardiomyopathy; Hip Dysplasia; Patellar Luxation,Large gentle breed; Ragdoll-like temperament; Placid and gentle; Loves to greet family; Dog-like qualities
Ragdoll,TICA; CFA; FIFe; GCCF; WCF,United States,Large,20-25,3.6-6.3,12-15,Affectionate; Alert; Calm; Courageous; Curious; Devoted; Even-tempered; Friendly; Gentle; Intelligent; Laid-back; Loyal; Playful; Quiet; Sensitive; Sweet; Docile,Semi-long; Silky; Fine; Dense; Double,Colorpoint; Seal; Chocolate; Blue; Lilac; Cream; Red; Lynx Point; Mitted; Van pattern,Semi-long,Low,Moderate,Very High,Yes,Yes,Moderate,Polycystic Kidney Disease; Hypertrophic Cardiomyopathy; Hip Dysplasia; Progressive Retinal Atrophy; Feline Infectious Peritonitis,Large docile breed; Goes limp when picked up; Blue eyes; Semi-long silky coat; Calm temperament
Russian Blue,TICA; CFA; FIFe; GCCF; WCF,Russia,Small-Medium,20-25,2.3-4.5,12-15,Affectionate; Alert; Calm; Courageous; Curious; Even-tempered; Friendly; Gentle; Intelligent; Independent; Keen; Loyal; Observant; Quiet; Reserved (with strangers); Sensitive; Shy,Short; Fine; Double; Dense; Silky; Plush; Distinctive silver-tipped guard hairs,Blue; Gray; Silver; Distinctive silver-tipped guard hairs,Short,Moderate,Moderate,Low,Yes,Yes,Moderate,Progressive Retinal Atrophy; Hip Dysplasia; Hypertrophic Cardiomyopathy; No Major Health Concerns,Silver-tipped blue coat; Green eyes; Quiet and reserved; Elegant and graceful; Ancient breed
Savannah,TICA; WCF,United States (Serval hybrid),Medium-Large,20-28,3.6-11.3,12-20,Active; Affectionate; Alert; Athletic; Courageous; Curious; Energetic; Even-tempered; Friendly; Intelligent; Keen; Loyal; Playful; Responsive; Social,Short; Fine; Dense; Spotted,Brown; Golden; Silver; Black; Smoke; Ticked; Spotted Tabby,Short,High,Very High,Low,Yes,Moderate-Yes,Moderate,Hip Dysplasia; Hypertrophic Cardiomyopathy; Progressive Retinal Atrophy; Polycystic Kidney Disease,Exotic hybrid with Serval; Tall and slender; Playful and energetic; Can be trained on leash; May need permit
Scottish Fold,TICA; CFA; WCF,Scotland,Small-Medium,20-25,2.3-5.4,11-15,Affectionate; Alert; Calm; Courageous; Curious; Even-tempered; Friendly; Gentle; Intelligent; Keen; Lively; Loyal; Patient; Playful; Quiet; Responsive; Sweet; Loving; Undemanding,Short or Long; Dense; Double,All colors and patterns; Tabby; Solid; Colorpoint,Short or Long,Low,Moderate,Moderate,Yes,Yes,Moderate,Osteochondrodysplasia; Hip Dysplasia; Degenerative Joint Disease; Otitis Media; Ear Problems,Distinctive folded ears; Available in short and long hair; Sweet and gentle; Undemanding temperament; Sit in owl-like posture
Scottish Straight,TICA; WCF,Scotland,Small-Medium,20-25,2.3-5.4,11-15,Affectionate; Alert; Calm; Courageous; Curious; Even-tempered; Friendly; Gentle; Intelligent; Keen; Lively; Loyal; Patient; Playful; Quiet; Responsive; Sweet,Short or Long; Dense; Double,All colors and patterns; Tabby; Solid; Colorpoint,Short or Long,Low,Moderate,Moderate,Yes,Yes,Moderate,Hip Dysplasia; Patellar Luxation; No Major Health Concerns,Straight-eared Scottish Fold variant; Available in short and long hair; Similar temperament to Scottish Fold; No ear issues
Selkirk Rex,TICA; CFA; WCF,United States,Small-Large,20-25,2.3-5.9,12-15,Affectionate; Alert; Calm; Courageous; Curious; Even-tempered; Friendly; Gentle; Intelligent; Keen; Lively; Loyal; Patient; Playful; Quiet; Responsive; Sweet,Short or Long; Curly; Wavy; Double; Soft; Plush; Woolly,All colors and patterns,Short or Long,Low,Moderate,Very High,Yes,Yes,Moderate-High,Hypertrophic Cardiomyopathy; Patellar Luxation; Hip Dysplasia; Polycystic Kidney Disease; Ear Problems,Distinctive curly/wavy coat; Teddy bear appearance; Available in short and long hair; Plush coat; Gentle nature
Siamese,TICA; CFA; FIFe; GCCF; WCF,Thailand,Small-Medium,20-25,2.3-5.4,8-15,Affectionate; Alert; Courageous; Curious; Demanding; Devoted; Even-tempered; Friendly; Gentle; Intelligent; Keen; Lively; Loyal; Playful; Sensitive; Social; Vocal; Talkative,Short; Fine; Glossy; Dense; Smooth,Colorpoint; Seal; Chocolate; Blue; Lilac; Cream; Red; Flame; Caramel; Apricot,Short,Moderate,High,Low,Yes,Yes,Low,Strabismus; Asthma; Progressive Retinal Atrophy; Hypertrophic Cardiomyopathy; Lymphoma; Cancer,Colorpoint pattern; Distinctive blue almond-shaped eyes; Very vocal and talkative; Slender elegant body; Ancient breed
Siberian,TICA; CFA; FIFe; GCCF; WCF,Russia,Large,20-28,4.5-9,12-18,Affectionate; Alert; Courageous; Curious; Devoted; Even-tempered; Friendly; Gentle; Intelligent; Keen; Lively; Loyal; Observant; Playful; Quiet; Responsive,Long; Double; Dense; Heavy; Weather-resistant; Thick undercoat,All colors and patterns except colorpoint and abyssinian,Long,Moderate,High,Very High,Yes,Yes,Very High,Hypertrophic Cardiomyopathy; Hip Dysplasia; Patellar Luxation; Progressive Retinal Atrophy; Polycystic Kidney Disease,Large fluffy breed; Triple-layered coat; Excellent jumpers; Strong and muscular; Dog-like personality
