Breed_Name,FCI_Group,AKC_Group,Origin_Country,Size_Category,Average_Height_cm,Average_Weight_kg,Life_Expectancy_Years,Temperament,Primary_Purpose,Coat_Type,Color_Varieties,Training_Difficulty,Exercise_Needs,Grooming_Needs,Good_With_Families,Good_With_Children,Shedding_Level,Health_Concerns
Anatolian Shepherd Dog,1 - Sheepdogs and Cattle Dogs,Working,Turkey,Large,71-81,41-68,11-13,Alert; Confident; Courageous; Loyal,Guardian; Livestock Protection,Short; Dense,Fawn; Cream; White; Brindle; Parti-color,Moderate,High,Moderate,Yes,Yes,Moderate,Hip Dysplasia; Bloat; Canine Hip Dysplasia
Australian Cattle Dog,1 - Sheepdogs and Cattle Dogs,Herding,Australia,Medium,43-51,14-16,12-16,Alert; Athletic; Courageous; Loyal,Herding; Working,Short; Dense,Red Mottled; Blue Mottled; Speckled,Moderate,Very High,Low,Yes,Yes,Moderate,Hip Dysplasia; Deafness; Progressive Retinal Atrophy
Australian Kelpie,1 - Sheepdogs and Cattle Dogs,Herding,Australia,Medium,43-51,11-20,11-13,Alert; Bold; Eager; Energetic; Loyal,Herding; Working,Short; Dense,Black; Red; Tan; Fawn,Moderate,Very High,Low,Yes,Yes,Moderate,Hip Dysplasia; Elbow Dysplasia; Collie Eye Anomaly
Australian Shepherd,1 - Sheepdogs and Cattle Dogs,Herding,United States,Medium,46-58,16-32,12-18,Active; Affectionate; Eager; Intelligent; Lively,Herding; Family,Medium; Dense,Black; Blue Merle; Red; Red Merle,Moderate,Very High,High,Yes,Yes,Very High,Hip Dysplasia; Collie Eye Anomaly; Drug Sensitivity
Australian Terrier,3 - Terriers,Terrier,Australia,Small,25-28,6-6.5,12-15,Alert; Courageous; Friendly; Keen,Hunting; Companion,Medium; Rough,Blue; Red; Sandy; Tan,Moderate,Moderate,High,Yes,Yes,High,Patellar Luxation; Diabetes; Legg-Calve-Perthes Disease
Australian Stumpy Tail Cattle Dog,1 - Sheepdogs and Cattle Dogs,Herding,Australia,Medium,43-51,15-17,12-15,Alert; Courageous; Loyal; Energetic,Herding; Working,Short; Dense,Red; Blue Mottled; Speckled,Moderate,Very High,Low,Yes,Yes,Moderate,Hip Dysplasia; Deafness; Eye Issues
Azawakh,10 - Sighthounds,Hound,Mali,Medium-Large,64-74,15-25,12-15,Alert; Aloof; Reserved; Swift,Hunting; Sighthound,Short; Fine,Red; Fawn; Brindle; White; Blue,High,High,Low,Moderate,Moderate,Low,Hip Dysplasia; Heart Issues; Eye Problems
Barbet,8 - Retrievers; Flushing Dogs; Water Dogs,Non-Sporting,France,Medium,43-65,17-28,12-15,Cheerful; Confident; Friendly; Intelligent,Water Retrieval; Hunting,Curly; Woolly; Long,Black; Brown; Fawn; White; Pied,Moderate,High,Very High,Yes,Yes,Low,Hip Dysplasia; Ear Infections; Patellar Luxation
Basenji,6 - Scenthounds and Related Breeds,Hound,Congo,Small-Medium,41-43,9-11,13-14,Alert; Barkless; Energetic; Independent,Hunting; Companion,Short; Fine,Red; Black; Brindle; Fawn,High,High,Low,Yes,Moderate,Low,Hip Dysplasia; Hemolytic Anemia; Fanconi Syndrome
Basset Fauve de Bretagne,6 - Scenthounds and Related Breeds,Hound,France,Small,30-38,12-15,12-14,Affectionate; Courageous; Determined; Happy,Hunting; Scent Trailing,Medium; Rough,Fawn; Golden-Red; Wheaten,Low,Moderate,Moderate,Yes,Yes,Moderate,Hip Dysplasia; Ear Infections; Bloat
Basset Hound,6 - Scenthounds and Related Breeds,Hound,Great Britain,Small,30-38,20-29,12-13,Affectionate; Amiable; Determined; Friendly,Hunting; Family; Scent Trailing,Short; Smooth,Tricolor; Red and White; Black and Tan,Low,Moderate,Low,Yes,Yes,Moderate,Hip Dysplasia; Ear Infections; Bloat; Back Issues
Bavarian Mountain Scent Hound,6 - Scenthounds and Related Breeds,Hound,Germany,Medium,44-52,20-25,12-14,Calm; Courageous; Determined; Friendly,Hunting; Scent Trailing,Short; Smooth,Red; Red-Brown; Brown,Moderate,Moderate,Low,Yes,Yes,Moderate,Hip Dysplasia; Ear Infections; No Major Health Issues
Beagle,6 - Scenthounds and Related Breeds,Hound,Great Britain,Small,33-40,9-11,12-15,Amiable; Determined; Even-Tempered; Merry,Hunting; Family; Scent Trailing,Short; Dense,Tricolor; Red and White; Lemon and White,Low,Moderate,Low,Yes,Yes,High,Hip Dysplasia; Epilepsy; Hypothyroidism; Ear Infections
Bearded Collie,1 - Sheepdogs and Cattle Dogs,Herding,Great Britain,Medium,51-56,18-27,12-14,Confident; Lively; Playful; Self-confident,Herding; Family,Medium; Double; Shaggy,Black; Blue; Brown; Fawn; Gray,Moderate,High,Very High,Yes,Yes,Very High,Hip Dysplasia; Collie Eye Anomaly; Elbow Dysplasia
Beauceron,1 - Sheepdogs and Cattle Dogs,Herding,France,Large,61-70,30-55,10-12,Alert; Bold; Confident; Even-Tempered,Herding; Guardian; Working,Short; Dense,Black and Rust; Black and Tan,Moderate,High,Low,Yes,Yes,Moderate,Hip Dysplasia; Bloat; Elbow Dysplasia
Bedlington Terrier,3 - Terriers,Terrier,Great Britain,Small,38-43,8-10,11-16,Affectionate; Courageous; Graceful; Intelligent,Hunting; Companion,Medium; Woolly; Linty,Blue; Liver; Sandy; Tan,Moderate,Moderate,High,Yes,Yes,Low,Patellar Luxation; Kidney Disease; Copper Toxicosis
Belgian Laekenois,1 - Sheepdogs and Cattle Dogs,Herding,Belgium,Medium,55-65,20-30,12-14,Confident; Courageous; Diligent; Intelligent,Herding; Guardian; Working,Wiry; Medium,Fawn; Red; Red Fawn; Gray,Moderate,Very High,High,Yes,Yes,Moderate,Hip Dysplasia; Elbow Dysplasia; Megaesophagus
Belgian Malinois,1 - Sheepdogs and Cattle Dogs,Herding,Belgium,Medium,55-66,20-30,12-14,Active; Alert; Courageous; Loyal; Smart,Herding; Military; Police; Working,Short; Dense,Fawn; Red; Black Mask; Mahogany,Moderate,Very High,Moderate,Yes,Yes,High,Hip Dysplasia; Elbow Dysplasia; Bloat
Belgian Sheepdog,1 - Sheepdogs and Cattle Dogs,Herding,Belgium,Medium,55-66,20-30,12-14,Alert; Courageous; Faithful; Intelligent,Herding; Guardian; Working,Long; Black,Black; Black with Tan; Black with White,Moderate,Very High,Very High,Yes,Yes,Very High,Hip Dysplasia; Elbow Dysplasia; Megaesophagus
Belgian Tervuren,1 - Sheepdogs and Cattle Dogs,Herding,Belgium,Medium,55-66,20-30,12-14,Alert; Courageous; Faithful; Intelligent,Herding; Guardian; Working,Medium; Double,Fawn; Red; Black Mask; Tan Markings,Moderate,Very High,Very High,Yes,Yes,Very High,Hip Dysplasia; Elbow Dysplasia; Bloat
Bergamasco,1 - Sheepdogs and Cattle Dogs,Herding,Italy,Medium,58-61,26-38,13-15,Calm; Curious; Intelligent; Patient,Herding; Guardian; Family,Long; Corded; Flocked,Gray; Black; White; Tan,High,Moderate,Very High,Yes,Yes,Moderate,Hip Dysplasia; Elbow Dysplasia; No Major Health Issues
Berger Picard,1 - Sheepdogs and Cattle Dogs,Herding,France,Medium,55-65,17-32,12-15,Alert; Brave; Loyal; Smart,Herding; Guardian; Working,Medium; Rough; Double,Fawn; Brindle; Black Brindle,Moderate,Very High,Moderate,Yes,Yes,Moderate,Hip Dysplasia; Elbow Dysplasia; Progressive Retinal Atrophy
Bernese Mountain Dog,2 - Pinschers and Schnauzers; Molossoid Breeds; Swiss Mountain and Cattle Dogs,Working,Switzerland,Large,58-70,32-48,7-10,Calm; Confident; Gentle; Intelligent; Loyal,Draft; Guardian; Family,Double; Medium; Thick,Black; Red; White; Tan,Low,Moderate,High,Yes,Yes,Very High,Hip Dysplasia; Bloat; Degenerative Myelopathy; Cancer
Bichon Frise,9 - Companion and Toy Dogs,Non-Sporting,Mediterranean,Small,23-30,5-8,12-15,Affectionate; Cheerful; Friendly; Lively; Playful,Companion,Curly; Fine; Double,White; Cream; Apricot,Moderate,Moderate,Very High,Yes,Yes,Low,Patellar Luxation; Allergies; Dental Issues
Biewer Terrier,9 - Companion and Toy Dogs,Toy,Germany,Toy,17-21,2-3.6,16,Alert; Affectionate; Courageous; Playful,Companion,Long; Fine; Silky,Blue; Gold; White; Tan,High,Moderate,Very High,Yes,Yes,Moderate,Patellar Luxation; Hypoglycemia; Portosystemic Shunt
Black and Tan Coonhound,6 - Scenthounds and Related Breeds,Hound,United States,Large,58-69,23-34,10-12,Even-Tempered; Independent; Loyal; Tenacious,Hunting; Scent Trailing; Family,Short; Dense,Black and Tan,Low,High,Low,Yes,Yes,Moderate,Hip Dysplasia; Ear Infections; Bloat
Black Russian Terrier,2 - Pinschers and Schnauzers; Molossoid Breeds; Swiss Mountain and Cattle Dogs,Working,Russia,Large,64-72,36-60,10-12,Confident; Courageous; Fearless; Loyal,Guardian; Working,Coarse; Double; Thick,Black,Moderate,High,High,Moderate,Yes,Moderate,Hip Dysplasia; Bloat; Elbow Dysplasia
Bloodhound,6 - Scenthounds and Related Breeds,Hound,Great Britain,Large,58-69,36-50,10-12,Affable; Determined; Even-Tempered; Independent,Hunting; Scent Trailing; Family,Short; Smooth; Thin,Black and Tan; Red; Liver and Tan,Moderate,Moderate,Low,Yes,Yes,Moderate,Hip Dysplasia; Bloat; Ear Infections; Droopy Eyes
Bluetick Coonhound,6 - Scenthounds and Related Breeds,Hound,United States,Large,53-69,22-29,11-12,Even-Tempered; Independent; Loyal; Tenacious,Hunting; Scent Trailing; Companion,Short; Dense,Blue Ticked; Black Markings; Tan Markings,Moderate,High,Low,Yes,Yes,Moderate,Hip Dysplasia; Ear Infections; Bloat
Boerboel,2 - Pinschers and Schnauzers; Molossoid Breeds; Swiss Mountain and Cattle Dogs,Working,South Africa,Large,61-66,45-90,9-11,Confident; Courageous; Loyal; Obedient,Guardian; Protection,Short; Smooth; Dense,Fawn; Brindle; Piebald; Brown; Black,Moderate,High,Low,Moderate,Moderate,Low,Hip Dysplasia; Bloat; Elbow Dysplasia; Heart Issues
Bohemian Shepherd,1 - Sheepdogs and Cattle Dogs,Herding,Czech Republic,Medium,44-53,12-20,12-15,Alert; Brave; Intelligent; Loyal,Herding; Guardian,Medium; Double,Black and Tan; Black and Red; Red with Tan,Moderate,High,Moderate,Yes,Yes,Moderate,Hip Dysplasia; Elbow Dysplasia; Progressive Retinal Atrophy
Bolognese,9 - Companion and Toy Dogs,Toy,Italy,Toy,25-30,3-4,12-14,Affectionate; Apt; Lively; Playful; Sensitive,Companion,Long; White; Fine; Fluffy,White,High,Moderate,Very High,Yes,Yes,Low,Patellar Luxation; Shaker Syndrome; Eye Issues
Border Collie,1 - Sheepdogs and Cattle Dogs,Herding,Great Britain,Medium,46-56,12-22,12-17,Affectionate; Alert; Energetic; Intelligent; Lively,Herding; Working; Companion,Medium; Double,Black and White; Red and White; Blue Merle; Solid Colors,Moderate,Very High,High,Yes,Yes,Very High,Hip Dysplasia; Collie Eye Anomaly; Progressive Retinal Atrophy
Border Terrier,3 - Terriers,Terrier,Great Britain,Small,25-28,5.9-7.1,12-15,Alert; Courageous; Even-Tempered; Loyal,Hunting; Companion,Medium; Rough; Double,Red; Wheaten; Grizzle and Tan; Blue and Tan,Moderate,Moderate,High,Yes,Yes,Moderate,Patellar Luxation; Hip Dysplasia; Hyperplasia of the Iris
Borzoi,10 - Sighthounds,Hound,Russia,Large,66-79,20-41,10-12,Affectionate; Dignified; Even-Tempered; Independent,Hunting; Sighthound; Companion,Long; Silky; Feathered,White; Red; Brindle; Black and White,Moderate,High,High,Yes,Yes,High,Hip Dysplasia; Heart Issues; Bloat
Boston Terrier,9 - Companion and Toy Dogs,Non-Sporting,United States,Small,23-43,4.5-11,11-15,Affectionate; Bright; Energetic; Friendly,Companion; Family,Short; Smooth,Black and White; Brindle and White,Low,Moderate,Low,Yes,Yes,Moderate,Patellar Luxation; Respiratory Issues; Ear Infections
Bouvier des Flanders,1 - Sheepdogs and Cattle Dogs,Herding,Belgium,Large,59-68,27-40,10-12,Alert; Determined; Fearless; Loyal; Obedient,Herding; Guardian; Working,Coarse; Double; Medium,Fawn; Brindle; Gray; Black,Moderate,High,Very High,Yes,Yes,Moderate,Hip Dysplasia; Bloat; Elbow Dysplasia
Boxer,2 - Pinschers and Schnauzers; Molossoid Breeds; Swiss Mountain and Cattle Dogs,Working,Germany,Large,53-63,25-32,10-12,Alert; Courageous; Devoted; Energetic; Playful,Guardian; Family; Working,Short; Smooth; Tight,Fawn; Brindle; White Markings; Black Markings,Low,High,Low,Yes,Yes,Moderate,Hip Dysplasia; Bloat; Heart Issues; Cancer
Boykin Spaniel,8 - Retrievers; Flushing Dogs; Water Dogs,Sporting,United States,Medium,43-51,25-40,12-15,Affectionate; Eager; Energetic; Friendly; Loyal,Hunting; Water Retrieval; Companion,Medium; Wavy; Curly,Solid Brown; Liver; Dark Brown,Moderate,High,High,Yes,Yes,High,Hip Dysplasia; Elbow Dysplasia; Progressive Retinal Atrophy
Bracco Italiano,7 - Pointers,Sporting,Italy,Large,55-67,25-40,10-12,Affectionate; Eager; Even-Tempered; Loyal,Hunting; Pointing; Companion,Short; Fine; Smooth; Dense,White; Orange; Brown; Lemon; Solid Color or Patched,Moderate,High,Low,Yes,Yes,Moderate,Hip Dysplasia; Elbow Dysplasia; Epilepsy
Braque du Bourbonnais,7 - Pointers,Sporting,France,Medium,48-56,19-27,12-15,Affectionate; Eager; Gentle; Lively; Loyal,Hunting; Pointing; Companion,Short; Fine; Close,Brown; Tan; Fawn; Roan; Spotted,Moderate,High,Low,Yes,Yes,Moderate,Hip Dysplasia; Elbow Dysplasia; No Major Health Issues
Braque Francais Pyrenean,7 - Pointers,Sporting,France,Large,55-69,20-32,14-17,Affectionate; Even-Tempered; Friendly; Loyal; Sensitive,Hunting; Pointing; Companion,Short; Fine,Brown; Chestnut; Liver; Roan,Moderate,High,Low,Yes,Yes,Moderate,Hip Dysplasia; Elbow Dysplasia; No Major Health Issues
Briard,1 - Sheepdogs and Cattle Dogs,Herding,France,Large,56-69,27-41,12-14,Alert; Brave; Faithful; Intelligent; Loyal,Herding; Guardian; Working,Long; Double; Wavy,All solid colors; Black; Brown; Fawn,Moderate,High,Very High,Yes,Yes,Very High,Hip Dysplasia; Elbow Dysplasia; Bloat; Retinal Dysplasia
Brittany,7 - Pointers,Sporting,France,Medium,46-53,16-20,12-15,Affectionate; Eager; Even-Tempered; Happy; Sweet,Hunting; Pointing; Companion,Medium; Double; Wavy,Orange and White; Liver and White; Roan; Tricolor,Moderate,High,Moderate,Yes,Yes,Moderate,Hip Dysplasia; Elbow Dysplasia; Allergies
Broholmer,2 - Pinschers and Schnauzers; Molossoid Breeds; Swiss Mountain and Cattle Dogs,Working,Denmark,Giant,60-76,40-70,7-12,Alert; Confident; Even-Tempered; Loyal,Guardian; Family; Working,Short; Smooth; Thick,Golden Yellow; Fawn; Red; Dark Brown; Black,Moderate,Moderate,Low,Yes,Yes,Moderate,Hip Dysplasia; Bloat; Elbow Dysplasia; Cancer
Brussels Griffon,9 - Companion and Toy Dogs,Toy,Belgium,Toy,18-20,3.6-6,12-15,Alert; Confident; Curious; Even-Tempered; Loyal,Companion; Watchdog,Rough or Smooth,Red; Black and Tan; Black; Belge,High,Moderate,High,Yes,Yes,Moderate,Patellar Luxation; Heart Issues; Eye Problems
Bull Terrier,3 - Terriers,Terrier,Great Britain,Medium,53-56,22-38,12-13,Affectionate; Courageous; Determined; Playful; Stubborn,Guardian; Companion,Short; Smooth; Close,White; Colored; Parti-colored; Brindle,Moderate,High,Low,Moderate,Moderate,Low,Hip Dysplasia; Deafness; Heart Issues; Skin Issues
Bulldog,9 - Companion and Toy Dogs,Non-Sporting,Great Britain,Small,30-40,18-23,8-10,Courageous; Dignified; Loyal; Affectionate,Guardian; Companion; Family,Short; Smooth,Fawn; Red; White; Brindle; Parti-color,Low,Low,Low,Yes,Yes,Moderate,Hip Dysplasia; Respiratory Issues; Heart Issues; Skin Issues
Bullmastiff,2 - Pinschers and Schnauzers; Molossoid Breeds; Swiss Mountain and Cattle Dogs,Working,Great Britain,Large,61-66,41-59,7-9,Affectionate; Courageous; Loyal; Reliable; Dignified,Guardian; Family; Working,Short; Dense; Close,Fawn; Red; Brindle; Black Mask,Moderate,Moderate,Low,Yes,Yes,Moderate,Hip Dysplasia; Bloat; Elbow Dysplasia; Heart Issues
Cairn Terrier,3 - Terriers,Terrier,Great Britain,Small,25-30,6-7.5,12-15,Alert; Courageous; Independent; Intelligent; Lively,Hunting; Companion,Medium; Rough; Double,Cream; Wheaten; Red; Black; Brindle; Gray; Tan,Moderate,Moderate,High,Yes,Yes,High,Patellar Luxation; Hypothyroidism; Liver Shunt
Canaan Dog,1 - Sheepdogs and Cattle Dogs,Herding,Israel,Medium,50-66,18-25,12-15,Alert; Confident; Independent; Loyal; Watchful,Herding; Guardian; Companion,Short; Double; Dense,White; Red; Brown; Black and Tan,Moderate,High,Moderate,Yes,Yes,High,Hip Dysplasia; Elbow Dysplasia; Collie Eye Anomaly
Cane Corso,2 - Pinschers and Schnauzers; Molossoid Breeds; Swiss Mountain and Cattle Dogs,Working,Italy,Large,64-72,36-50,9-12,Alert; Confident; Even-Tempered; Loyal; Obedient,Guardian; Protection; Working,Short; Smooth; Dense,Black; Gray; Fawn; Red; Brindle; White Markings,Moderate,Moderate,Low,Yes,Moderate,Low,Hip Dysplasia; Bloat; Elbow Dysplasia
Cardigan Welsh Corgi,1 - Sheepdogs and Cattle Dogs,Herding,Great Britain,Small,26-33,24-38,12-15,Affectionate; Bold; Intelligent; Loyal; Sturdy,Herding; Family; Companion,Medium; Double,Red; Sable; Brindle; Black and Tan; Blue Merle,Moderate,Moderate,High,Yes,Yes,Very High,Hip Dysplasia; Elbow Dysplasia; Progressive Retinal Atrophy
Carolina Dog,1 - Sheepdogs and Cattle Dogs,Herding,United States,Medium,45-65,16-32,12-16,Alert; Loyal; Energetic; Even-Tempered,Companion; Hunting,Short; Dense,Red; Black; Sable; Tan; Cream,Moderate,High,Moderate,Yes,Yes,Moderate,Hip Dysplasia; Heartworm; No Major Health Issues
Catahoula Leopard Dog,6 - Scenthounds and Related Breeds,Hound,United States,Medium,46-66,23-41,10-14,Affectionate; Alert; Energetic; Independent; Loyal,Hunting; Working; Companion,Short; Smooth; Oily,Leopard; Spotted; Brindle; Merle; Solid Colors,Moderate,Very High,Low,Yes,Yes,Moderate,Hip Dysplasia; Deafness; Eye Issues
Caucasian Shepherd Dog,2 - Pinschers and Schnauzers; Molossoid Breeds; Swiss Mountain and Cattle Dogs,Working,Russia/Caucasus,Giant,64-90,45-100,10-12,Alert; Confident; Courageous; Loyal; Strong-Willed,Guardian; Livestock Protection,Medium; Double; Thick; Fluffy,Fawn; White; Cream; Red; Black; Brindle; Piebald,High,Moderate,Very High,Moderate,Moderate,Very High,Hip Dysplasia; Bloat; Elbow Dysplasia
Cavalier King Charles Spaniel,9 - Companion and Toy Dogs,Toy,Great Britain,Small,30-35,5.9-8.2,12-15,Affectionate; Cheerful; Gentle; Gracious; Loving,Companion; Family; Lapdog,Medium; Silky; Feathered,Ruby; Tricolor; Blenheim; Black and Tan,Low,Moderate,High,Yes,Yes,High,Heart Issues; Ear Infections; Dry Eye
Central Asian Shepherd Dog,2 - Pinschers and Schnauzers; Molossoid Breeds; Swiss Mountain and Cattle Dogs,Working,Central Asia,Large,60-70,39-79,12-14,Alert; Confident; Courageous; Loyal; Independent,Guardian; Livestock Protection; Working,Thick; Double; Medium to Long,Fawn; Piebald; Brindle; White; Black and Tan; Red,High,Moderate,Very High,Yes,Yes,Very High,Hip Dysplasia; Bloat; Elbow Dysplasia
Cesky Terrier,3 - Terriers,Terrier,Czech Republic,Small,25-32,5.3-8,12-15,Alert; Balanced; Courageous; Friendly; Loyal,Hunting; Companion,Medium; Wavy; Silky; Single Coat,Blue-Gray; Tan,Moderate,Moderate,High,Yes,Yes,Low,Patellar Luxation; Hip Dysplasia; Myasthenia Gravis
Chesapeake Bay Retriever,8 - Retrievers; Flushing Dogs; Water Dogs,Sporting,United States,Large,53-66,25-36,10-13,Affectionate; Courageous; Determined; Happy; Intelligent,Hunting; Water Retrieval; Companion,Medium; Double; Oily,Brown; Sedge; Deadgrass,Moderate,High,Moderate,Yes,Yes,High,Hip Dysplasia; Elbow Dysplasia; Eye Issues
Chihuahua,9 - Companion and Toy Dogs,Toy,Mexico,Toy,15-23,1.5-3,14-16,Alert; Brave; Cheerful; Confident; Loyal,Companion; Lapdog,Short or Long; Fine,Any color or color combination,High,Moderate,Low-Moderate,Yes,Moderate,High (varies),Patellar Luxation; Heart Issues; Hypoglycemia
Chinese Crested,9 - Companion and Toy Dogs,Toy,China,Toy,23-33,2.7-5.4,13-18,Alert; Affectionate; Energetic; Friendly; Playful,Companion; Lapdog,Hairless or Powderpuff variants,Any color or color combination,Moderate,Moderate,Low (Hairless) or High (Powderpuff),Yes,Yes,Low (Hairless) or High (Powderpuff),Patellar Luxation; Skin Issues; Dental Issues
Chinese Shar-Pei,9 - Companion and Toy Dogs,Non-Sporting,China,Medium,46-51,18-29,8-12,Affectionate; Aloof; Calm; Dignified; Independent,Guardian; Companion,Short; Rough; Wrinkled,Black; Blue; Chocolate; Cream; Fawn; Red,Moderate,Moderate,Low,Yes,Moderate,Moderate,Hip Dysplasia; Skin Infections; Ear Issues; Eye Problems
Chinook,5 - Spitz and Primitive Types,Working,United States,Large,53-66,27-41,12-15,Affectionate; Alert; Dignified; Friendly; Intelligent,Sled Pulling; Companion; Family,Medium; Double; Dense,Golden; Amber,Moderate,High,High,Yes,Yes,Very High,Hip Dysplasia; Elbow Dysplasia; Degenerative Myelopathy
Chow Chow,5 - Spitz and Primitive Types,Non-Sporting,China,Medium,43-51,20-32,8-12,Alert; Aloof; Dignified; Independent; Loyal,Guardian; Companion,Medium; Double; Fluffy,Black; Blue; Cream; Red; Cinnamon,Moderate,Moderate,Very High,Moderate,Moderate,Very High,Hip Dysplasia; Elbow Dysplasia; Eye Issues; Skin Problems
Cirneco dell'Etna,10 - Sighthounds,Hound,Italy,Small,42-47,8-12,12-14,Active; Alert; Energetic; Even-Tempered; Independent,Hunting; Sighthound; Companion,Short; Smooth; Fine,Red; Fawn; White; Cream,Moderate,High,Low,Yes,Yes,Low,Hip Dysplasia; Elbow Dysplasia; No Major Health Issues
Clumber Spaniel,8 - Retrievers; Flushing Dogs; Water Dogs,Sporting,Great Britain,Large,43-51,25-38,10-12,Affectionate; Dignified; Gentle; Intelligent; Loyal,Hunting; Flushing; Family; Companion,Medium; Dense; Feathered,White; Lemon; Brown Markings,Moderate,Moderate,Very High,Yes,Yes,High,Hip Dysplasia; Elbow Dysplasia; Ear Infections; Eye Issues
Cocker Spaniel,8 - Retrievers; Flushing Dogs; Water Dogs,Sporting,Great Britain,36-41,12-14.5,12-15,Affectionate; Cheerful; Even-Tempered; Friendly; Gentle,Hunting; Flushing; Family; Companion,Medium; Silky; Feathered,Black; Red; Golden; Parti-color; Tricolor,Moderate,Moderate,Very High,Yes,Yes,High,Hip Dysplasia; Ear Infections; Eye Issues; Retinal Dysplasia,
Collie,1 - Sheepdogs and Cattle Dogs,Herding,Great Britain,Large,55-66,20-34,12-14,Affectionate; Alert; Gentle; Intelligent; Loyal,Herding; Family; Companion,Medium or Long; Double,Sable; Merle; Blue Merle; Tan; White Markings,Moderate,High,Very High,Yes,Yes,Very High,Hip Dysplasia; Collie Eye Anomaly; Progressive Retinal Atrophy
Coton de Tulear,9 - Companion and Toy Dogs,Toy,Madagascar,Small,22-26,3.5-6,15-19,Alert; Affectionate; Cheerful; Friendly; Lively,Companion; Family,Medium; Cotton-like; Fine; Fluffy,White; Occasional Champagne Colored Markings,Moderate,Moderate,Very High,Yes,Yes,Low,Hip Dysplasia; Patellar Luxation; No Major Health Issues
Croatian Sheepdog,1 - Sheepdogs and Cattle Dogs,Herding,Croatia,Medium,41-51,15-24,12-14,Alert; Courageous; Determined; Friendly; Intelligent,Herding; Working; Companion,Medium; Double,Black; Black with Small White Marks,Moderate,High,Moderate,Yes,Yes,High,Hip Dysplasia; Elbow Dysplasia; No Major Health Issues
Curly-Coated Retriever,8 - Retrievers; Flushing Dogs; Water Dogs,Sporting,Great Britain,63-69,32-41,10-12,Affectionate; Confident; Even-Tempered; Intelligent; Lively,Hunting; Water Retrieval; Companion,Medium; Curly; Dense; Oily,Black; Liver; Brown; Red,Moderate,High,Moderate,Yes,Yes,High,Hip Dysplasia; Elbow Dysplasia; Progressive Retinal Atrophy; Heart Issues,
